epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.68681,0.90506,2.36249,1.42846,0.00357,1,0.90128,0.59951,0.81043,2.72996,1.36981,0.00022,0.00022,0.00022
2,8.08449,0.85684,1.38383,1.33149,0.83872,0.23157,0.71876,0.50981,0.94115,2.58882,1.5264,0.000455446,0.000455446,0.000455446
3,11.3197,0.91655,1.40821,1.40885,0.64409,0.68889,0.69745,0.42792,1.12352,2.51087,1.80455,0.00068614,0.00068614,0.00068614
4,14.5243,1.03722,1.46335,1.46681,0.62435,0.51721,0.56446,0.29054,1.59095,2.69124,2.25484,0.000912082,0.000912082,0.000912082
5,17.7667,0.9448,1.25313,1.42668,0.6073,0.66667,0.58768,0.33106,1.37944,2.63072,2.28737,0.00113327,0.00113327,0.00113327
6,20.9876,0.93679,1.22761,1.36324,0.54585,0.44444,0.52683,0.26735,2.02502,2.74476,2.90471,0.00134971,0.00134971,0.00134971
7,24.1367,1.02234,1.22563,1.44632,0.41606,0.6,0.4882,0.26871,1.45474,2.35974,2.11905,0.0015614,0.0015614,0.0015614
8,27.301,1.02949,1.12994,1.44685,0.77362,0.75556,0.77664,0.37272,1.66835,2.01047,2.35206,0.00176833,0.00176833,0.00176833
9,30.4498,1.02461,1.14418,1.43888,0.4181,0.53333,0.4209,0.2307,1.66815,2.46941,2.41613,0.0018416,0.0018416,0.0018416
10,33.5956,1.04048,1.12724,1.47506,0.59975,0.43305,0.51657,0.26385,1.71502,2.20829,2.41528,0.0018218,0.0018218,0.0018218
11,36.7709,1.04305,1.09641,1.45466,0.67716,0.51111,0.63094,0.29609,1.83749,2.32515,2.9136,0.001802,0.001802,0.001802
12,40.3807,1.00225,1.07092,1.42114,0.67053,0.58809,0.6232,0.33356,1.72728,1.68276,2.59571,0.0017822,0.0017822,0.0017822
13,43.4643,0.92763,0.97542,1.37545,0.68344,0.75556,0.78122,0.43794,1.28711,1.58988,1.90902,0.0017624,0.0017624,0.0017624
14,46.5611,0.96719,1.00595,1.40307,0.64584,0.53333,0.60967,0.30101,1.92014,1.88188,2.77899,0.0017426,0.0017426,0.0017426
